Date,Step Count (count),Flights Climbed (count),Walking + Running Distance (mi),Walking Asymmetry Percentage (%),Walking Double Support Percentage (%),Walking Speed (mi/hr),Walking Step Length (in) ,Day of Week
1/19/22 0:00,6259,20,2.36,0.1,27.64,2.83,25.36,Wednesday
1/20/22 0:00,7196,17,2.84,0.267,27.22,3.01,26.82,Thursday
1/21/22 0:00,6518,14,2.49,0.1,28.22,2.66,24.83,Friday
1/22/22 0:00,5933,15,2.26,0.6,27.15,2.91,25.86,Saturday
1/23/22 0:00,4956,12,1.78,0,27.91,2.74,24.95,Sunday
1/24/22 0:00,6372,16,2.4,0.917,28.01,2.83,25.86,Monday
1/25/22 0:00,4108,12,1.59,2,26.39,3.1,27.85,Tuesday
1/26/22 0:00,5872,25,2.2,0,27.16,2.89,26.02,Wednesday
1/27/22 0:00,5473,14,2.25,0.167,27.99,2.77,25.44,Thursday
1/28/22 0:00,9399,40,3.53,0.056,27.77,2.78,24.99,Friday
1/29/22 0:00,12725,43,5.4,0.143,27.18,2.94,25.92,Saturday
1/30/22 0:00,5579,19,2.04,0.429,27.43,2.92,26.41,Sunday
1/31/22 0:00,4415,13,1.68,0.556,27.87,2.62,24.53,Monday
2/1/22 0:00,8075,29,3.12,0.412,27.48,2.84,25.61,Tuesday
2/2/22 0:00,8329,27,3.08,0.35,27.46,2.88,25.71,Wednesday
2/3/22 0:00,5577,13,2.08,0.7,27.15,3,26.79,Thursday
2/4/22 0:00,6853,22,2.61,0.182,27.6,2.82,25.84,Friday
2/5/22 0:00,5568,18,2.14,2,28.17,2.72,24.99,Saturday
2/6/22 0:00,6146,11,2.42,0,27.39,2.7,26.88,Sunday
2/7/22 0:00,5708,18,2.2,0,27.51,2.92,27.18,Monday
2/8/22 0:00,5078,13,1.88,0.2,28.13,2.87,26.13,Tuesday
2/9/22 0:00,11006,28,4.34,0,27.58,2.89,26.5,Wednesday
2/10/22 0:00,6230,14,2.34,0.353,27.67,2.82,25.59,Thursday
2/11/22 0:00,7871,21,3.06,0.357,27.94,2.78,25.65,Friday
2/12/22 0:00,6417,9,2.55,0.214,27.44,2.85,25.41,Saturday
2/13/22 0:00,4905,11,1.87,0.111,28.04,2.79,25.47,Sunday
2/14/22 0:00,5070,12,1.9,0.167,27.82,2.78,25.5,Monday
2/15/22 0:00,6054,17,2.3,0,27.4,2.95,26.45,Tuesday
2/16/22 0:00,7052,18,2.75,0.35,27.53,2.9,26.29,Wednesday
2/17/22 0:00,3795,21,1.45,0.143,27.92,2.77,26.06,Thursday
2/18/22 0:00,5336,13,2.02,0.111,27.75,2.62,25.18,Friday
2/19/22 0:00,5087,22,1.93,0,29.56,2.41,23.48,Saturday
2/20/22 0:00,3300,5,1.26,1.33,28.09,2.58,26.02,Sunday
2/21/22 0:00,4462,13,1.74,,28.82,2.32,24.3,Monday
2/22/22 0:00,6990,20,2.64,0,27.2,2.88,25.63,Tuesday
2/23/22 0:00,10839,28,4.12,0,27.71,2.87,25.95,Wednesday
2/24/22 0:00,4019,14,1.51,3.82,27.99,2.82,25.32,Thursday
2/25/22 0:00,5113,11,1.9,0,28.15,2.75,24.66,Friday
2/26/22 0:00,7883,27,3.16,1.07,27.79,2.79,25.53,Saturday
2/27/22 0:00,5163,12,2.02,,28.7,2.43,25.28,Sunday
2/28/22 0:00,7833,14,2.96,0.118,28.11,2.78,25.55,Monday
3/1/22 0:00,9453,19,3.56,0.81,27.59,2.85,26.52,Tuesday
3/2/22 0:00,10513,33,4,0.939,27.48,2.91,26.04,Wednesday
3/3/22 0:00,4598,13,1.7,0.4,26.06,3.22,27.98,Thursday
3/4/22 0:00,5749,14,2.15,0.818,27.24,3.04,26.99,Friday
3/5/22 0:00,3965,7,1.5,,29.59,2.14,21.92,Saturday
3/6/22 0:00,1657,5,0.63,0,29.09,2.55,23.51,Sunday
3/7/22 0:00,2074,7,0.78,17.5,28.61,2.67,25.38,Monday
3/8/22 0:00,5520,11,2.1,0,26.78,2.7,26.4,Tuesday
3/9/22 0:00,3927,8,1.5,3.07,28.77,2.5,24.28,Wednesday
3/10/22 0:00,4103,13,1.61,0,28.86,2.49,23.27,Thursday
3/11/22 0:00,7304,21,2.86,0.833,28.82,2.47,25.73,Friday
3/12/22 0:00,3502,12,1.22,11,28.03,2.75,27.44,Saturday
3/13/22 0:00,3496,19,1.24,0,27.17,2.89,25.47,Sunday
3/14/22 0:00,5201,18,1.92,1.9,27.88,2.86,25.96,Monday
3/15/22 0:00,5012,15,1.88,0.286,27.31,2.95,26.52,Tuesday
3/16/22 0:00,8340,28,3.07,0.6,27.79,2.81,25.99,Wednesday
3/17/22 0:00,3310,7,1.37,0,27.18,2.92,25.59,Thursday
3/18/22 0:00,12663,30,5.05,0.865,27.68,2.87,26.28,Friday
3/19/22 0:00,12099,48,4.72,0.265,27.92,2.81,26.26,Saturday
3/20/22 0:00,6599,22,2.69,0.077,28.15,2.83,27.1,Sunday
3/21/22 0:00,10007,26,3.83,0.278,28.04,2.77,25.51,Monday
3/22/22 0:00,5811,13,2.17,0.455,27.93,2.77,25.32,Tuesday
3/23/22 0:00,8574,16,3.28,0.222,27.51,2.83,26.48,Wednesday
3/24/22 0:00,6337,20,2.43,0,27.76,2.8,25.43,Thursday
3/25/22 0:00,8816,16,3.34,0.062,27.88,2.8,25.55,Friday
3/26/22 0:00,3257,4,1.18,0.769,26.97,2.96,26.83,Saturday
3/27/22 0:00,5939,17,2.13,0,27.86,2.73,25.96,Sunday
3/28/22 0:00,5032,13,1.82,0.417,27.6,2.91,26.41,Monday
3/29/22 0:00,4653,12,1.63,0,27.83,2.88,26,Tuesday
3/30/22 0:00,9582,26,3.64,2.25,27.39,2.88,26.52,Wednesday
3/31/22 0:00,4194,14,1.52,0,28.19,2.79,25.57,Thursday
4/1/22 0:00,16432,26,6.2,0.343,27.16,2.93,26.43,Friday
4/2/22 0:00,6868,21,2.63,1.46,28.13,2.73,24.98,Saturday
4/3/22 0:00,5423,9,2.04,0.667,28.09,2.84,26.22,Sunday
4/4/22 0:00,6321,19,2.38,1.86,28.29,2.8,25.33,Monday
4/5/22 0:00,5898,19,2.15,0.25,28.34,2.73,25.31,Tuesday
4/6/22 0:00,12779,32,5.14,0.414,27.72,2.86,26.5,Wednesday
4/7/22 0:00,6127,13,2.32,0.909,28.4,2.67,25.35,Thursday
4/8/22 0:00,4973,10,1.81,1,27.92,2.68,25.24,Friday
4/9/22 0:00,3032,7,1.14,4.12,28.83,2.55,25.16,Saturday
4/10/22 0:00,3235,7,1.21,0.4,27.94,2.85,26.26,Sunday
4/11/22 0:00,4936,13,1.81,2,27.83,2.82,26.08,Monday
4/12/22 0:00,5554,18,2.12,0.071,27.16,2.97,26.85,Tuesday
4/13/22 0:00,7992,13,3,0.133,27.99,2.9,26.09,Wednesday
4/14/22 0:00,6542,17,2.42,0.917,27.93,2.77,25.93,Thursday
4/15/22 0:00,5979,22,2.23,2.42,27.91,2.76,25.31,Friday
4/16/22 0:00,4761,8,1.7,1,27.71,2.82,25.64,Saturday
4/17/22 0:00,3906,6,1.52,2.17,27.96,2.83,25.85,Sunday
4/18/22 0:00,5666,18,2.23,0.7,27.37,2.96,26.28,Monday
4/19/22 0:00,6321,14,2.34,0,27.56,2.94,26.95,Tuesday
